[2, 4, 6, 1, 8, 7, 9, 5, 3]
[2, 4, 1, 6, 8, 7, 9, 5, 3]
[2, 4, 1, 6, 7, 8, 9, 5, 3]
[2, 4, 1, 6, 7, 8, 5, 9, 3]
[2, 4, 1, 6, 7, 8, 5, 3, 9]
[2, 1, 4, 6, 7, 8, 5, 3, 9]
[2, 1, 4, 6, 7, 5, 8, 3, 9]
[2, 1, 4, 6, 7, 5, 3, 8, 9]
[1, 2, 4, 6, 7, 5, 3, 8, 9]
[1, 2, 4, 6, 5, 7, 3, 8, 9]
[1, 2, 4, 6, 5, 3, 7, 8, 9]
[1, 2, 4, 5, 6, 3, 7, 8, 9]
[1, 2, 4, 5, 3, 6, 7, 8, 9]

[2, 4, 6, 1, 8, 7, 9, 5, 3, 16, 15, 56]
[2, 4, 1, 6, 8, 7, 9, 5, 3, 16, 15, 56]
[2, 4, 1, 6, 7, 8, 9, 5, 3, 16, 15, 56]
[2, 4, 1, 6, 7, 8, 5, 9, 3, 16, 15, 56]
[2, 4, 1, 6, 7, 8, 5, 3, 9, 16, 15, 56]
[2, 4, 1, 6, 7, 8, 5, 3, 9, 15, 16, 56]
[2, 1, 4, 6, 7, 8, 5, 3, 9, 15, 16, 56]
[2, 1, 4, 6, 7, 5, 8, 3, 9, 15, 16, 56]
[2, 1, 4, 6, 7, 5, 3, 8, 9, 15, 16, 56]
[1, 2, 4, 6, 7, 5, 3, 8, 9, 15, 16, 56]
[1, 2, 4, 6, 5, 7, 3, 8, 9, 15, 16, 56]
[1, 2, 4, 6, 5, 3, 7, 8, 9, 15, 16, 56]
[1, 2, 4, 5, 6, 3, 7, 8, 9, 15, 16, 56]
[1, 2, 4, 5, 3, 6, 7, 8, 9, 15, 16, 56]
[1, 2, 4, 3, 5, 6, 7, 8, 9, 15, 16, 56]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 15, 16, 56]

[2, 4, 6, 1, 8, 7, 9, 5, 3, 16, 15, 56]
[2, 4, 1, 6, 8, 7, 9, 5, 3, 16, 15, 56]
[2, 4, 1, 6, 7, 8, 9, 5, 3, 16, 15, 56]
[2, 4, 1, 6, 7, 8, 5, 9, 3, 16, 15, 56]
[2, 4, 1, 6, 7, 8, 5, 3, 9, 16, 15, 56]
[2, 4, 1, 6, 7, 8, 5, 3, 9, 15, 16, 56]
[2, 1, 4, 6, 7, 8, 5, 3, 9, 15, 16, 56]
[2, 1, 4, 6, 7, 5, 8, 3, 9, 15, 16, 56]
[2, 1, 4, 6, 7, 5, 3, 8, 9, 15, 16, 56]
[1, 2, 4, 6, 7, 5, 3, 8, 9, 15, 16, 56]
[1, 2, 4, 6, 5, 7, 3, 8, 9, 15, 16, 56]
[1, 2, 4, 6, 5, 3, 7, 8, 9, 15, 16, 56]
[1, 2, 4, 5, 6, 3, 7, 8, 9, 15, 16, 56]
[1, 2, 4, 5, 3, 6, 7, 8, 9, 15, 16, 56]
[1, 2, 4, 3, 5, 6, 7, 8, 9, 15, 16, 56]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 15, 16, 56]

